blacklisted_by_me;can_see_all_posts;can_send_friend_request;city;faculty;graduation;has_photo;relation;wall_comments;universities_country;universities_graduation;universities_faculty;personal_lang_Русский;personal_lang_English;personal_alcohol;personal_people_main;personal_smoking;personal_lang_Романи;personal_lang_Italiano;school_city;school_country;school_type;school_year_graduated;career_city_id;career_group_id;career_until;uid;uid;uid
0.0;1.0;1.0;610.0;0.0;2006.0;0;0.0;1.0;3.0;2006.0;;0.0;0.0;;;;0.0;0.0;610.0;0.0;1.0;2001.0;;;;26321178;26321178;26321178
0.0;0.0;1.0;1.0;0.0;0.0;1;0.0;1.0;;;;1.0;1.0;;;;0.0;0.0;1.0;1.0;;;;;;282343969;282343969;282343969
0.0;1.0;1.0;392.0;0.0;0.0;1;4.0;1.0;;;;0.0;0.0;;;;0.0;0.0;392.0;3.0;;2005.0;;;;166935847;166935847;166935847
0.0;0.0;1.0;151.0;;;1;;1.0;;;;0.0;0.0;;;;0.0;0.0;;;;;;;;13955970;13955970;13955970
0.0;1.0;1.0;2086.0;0.0;0.0;1;0.0;1.0;;;;0.0;0.0;;;;0.0;0.0;2086.0;1.0;;2019.0;;;;344820263;344820263;344820263
0.0;1.0;1.0;284.0;0.0;0.0;1;6.0;1.0;;;;0.0;0.0;;;;0.0;0.0;284.0;4.0;13.0;2021.0;;;;237909561;237909561;237909561
0.0;0.0;1.0;1.0;;;1;;1.0;;;;0.0;0.0;;;;0.0;0.0;;;;;;;;102725951;102725951;102725951
0.0;1.0;1.0;151.0;;;1;;1.0;;;;0.0;0.0;;;;0.0;0.0;;;;;;;;64493273;64493273;64493273
0.0;1.0;1.0;1.0;0.0;0.0;0;0.0;1.0;;;;0.0;0.0;;;;0.0;0.0;1.0;1.0;;1995.0;;;;229142258;229142258;229142258
0.0;1.0;1.0;1496.0;0.0;0.0;1;1.0;1.0;;;;0.0;0.0;;;;0.0;0.0;1496.0;1.0;;;;;;296625301;296625301;296625301
0.0;1.0;1.0;2131.0;0.0;0.0;1;0.0;1.0;;;;0.0;0.0;;;;0.0;0.0;2131.0;4.0;;2020.0;;;;277112329;277112329;277112329
0.0;1.0;1.0;1.0;0.0;0.0;0;0.0;1.0;;;;0.0;0.0;;;;0.0;0.0;1.0;1.0;;;;;;78372316;78372316;78372316
0.0;1.0;1.0;158.0;0.0;0.0;0;0.0;1.0;;;;0.0;0.0;;;;0.0;0.0;158.0;1.0;;1975.0;;;;213777193;213777193;213777193
0.0;1.0;1.0;280.0;0.0;0.0;1;1.0;1.0;;;;0.0;0.0;2.0;;;0.0;0.0;280.0;2.0;;;;;;220968215;220968215;220968215
0.0;1.0;1.0;1.0;0.0;0.0;0;0.0;1.0;1.0;;;0.0;0.0;;;;0.0;0.0;314.0;2.0;;;;;;72034582;72034582;72034582
0.0;1.0;1.0;13000.0;0.0;0.0;0;0.0;1.0;;;;0.0;0.0;;;;0.0;0.0;13000.0;2.0;;;;;;68031269;68031269;68031269
0.0;1.0;1.0;12269.0;0.0;0.0;0;1.0;1.0;;;;0.0;0.0;;;;0.0;0.0;22.0;1.0;;;;;;97469324;97469324;97469324
0.0;1.0;1.0;1.0;0.0;0.0;1;0.0;1.0;;;;0.0;0.0;;;;0.0;0.0;1.0;1.0;;;;;;221561186;221561186;221561186
0.0;1.0;1.0;116.0;0.0;0.0;1;0.0;1.0;;;;0.0;0.0;;;;0.0;0.0;116.0;1.0;;;;;;113573524;113573524;113573524
0.0;1.0;1.0;1.0;0.0;0.0;1;0.0;1.0;;;;0.0;0.0;;;;0.0;0.0;1.0;1.0;2.0;2010.0;;;;166780071;166780071;166780071
0.0;1.0;1.0;1469.0;2096194.0;0.0;1;4.0;1.0;1.0;;2096194.0;0.0;0.0;;;;0.0;0.0;1469.0;1.0;;;;;;108083734;108083734;108083734
0.0;1.0;1.0;1508221.0;0.0;0.0;0;0.0;1.0;;;;0.0;0.0;;;;0.0;0.0;1508221.0;0.0;;;;;;25483679;25483679;25483679
0.0;1.0;1.0;13112.0;0.0;0.0;1;0.0;1.0;;;;0.0;0.0;;;;0.0;0.0;13112.0;1.0;;;;;;111582873;111582873;111582873
0.0;1.0;1.0;223.0;2018154.0;1984.0;1;0.0;1.0;2.0;1984.0;2018154.0;0.0;0.0;;;;0.0;0.0;;;;;;;;368172462;368172462;368172462
0.0;1.0;1.0;42.0;0.0;0.0;1;0.0;1.0;;;;0.0;0.0;;;;0.0;0.0;42.0;1.0;7.0;;;;;196018990;196018990;196018990
0.0;0.0;1.0;141.0;;;1;;0.0;;;;0.0;0.0;;;;0.0;0.0;;;;;;;;227557500;227557500;227557500
0.0;1.0;1.0;56.0;0.0;0.0;0;0.0;1.0;;;;0.0;0.0;;;;0.0;0.0;56.0;1.0;7.0;2011.0;;;;218652965;218652965;218652965
0.0;1.0;1.0;41.0;0.0;0.0;1;0.0;1.0;;;;0.0;0.0;;;;0.0;0.0;41.0;1.0;;;;;;79085506;79085506;79085506
0.0;1.0;1.0;161.0;0.0;0.0;1;5.0;1.0;;;;0.0;0.0;;;;0.0;0.0;161.0;1.0;;;;;;345917194;345917194;345917194
0.0;0.0;1.0;280.0;0.0;0.0;1;0.0;0.0;;;;0.0;0.0;;;;0.0;0.0;280.0;2.0;;;;;;282894063;282894063;282894063
0.0;0.0;1.0;5974.0;;;1;;0.0;;;;0.0;0.0;;;;0.0;0.0;;;;;;;;147028316;147028316;147028316
0.0;0.0;1.0;0.0;;;1;;1.0;;;;0.0;0.0;;;;0.0;0.0;;;;;;;;5506411;5506411;5506411
0.0;1.0;1.0;762.0;222310.0;1990.0;1;0.0;1.0;6.0;1990.0;222310.0;0.0;0.0;;;;0.0;0.0;;;;;;;;363891309;363891309;363891309
0.0;1.0;1.0;49.0;18777.0;0.0;0;0.0;1.0;1.0;;18777.0;0.0;0.0;;;;0.0;0.0;;;;;;;;56137059;56137059;56137059
0.0;1.0;1.0;223.0;0.0;0.0;1;0.0;1.0;;;;0.0;0.0;;;;0.0;0.0;223.0;2.0;2.0;;;;;106346249;106346249;106346249
0.0;0.0;1.0;93.0;;;1;;1.0;;;;0.0;0.0;;;;0.0;0.0;;;;;;;;68891299;68891299;68891299
0.0;0.0;1.0;392.0;;;1;;1.0;;;;0.0;0.0;;;;0.0;0.0;;;;;;;;23589112;23589112;23589112
0.0;1.0;1.0;3255.0;0.0;0.0;1;0.0;1.0;;;;1.0;1.0;4.0;6.0;4.0;0.0;0.0;3255.0;1.0;;2018.0;;;;176804374;176804374;176804374
0.0;1.0;1.0;1449.0;0.0;0.0;1;0.0;1.0;;;;0.0;0.0;;;;0.0;0.0;1449.0;1.0;;2020.0;;;;220648419;220648419;220648419
0.0;1.0;1.0;0.0;0.0;0.0;0;0.0;1.0;;;;0.0;0.0;;;;0.0;0.0;124.0;1.0;;2017.0;;;;204058573;204058573;204058573
0.0;1.0;1.0;0.0;0.0;0.0;1;0.0;1.0;;;;0.0;0.0;;;;0.0;0.0;14422.0;1.0;;2018.0;;;;320401394;320401394;320401394
0.0;0.0;1.0;66.0;14301.0;2008.0;1;0.0;1.0;1.0;2008.0;14301.0;0.0;0.0;;;;0.0;0.0;66.0;1.0;;;;;;124260335;124260335;124260335
